epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7834,1.06631,3.80769,1.35291,0.0196,1,0.52315,0.33909,0.66822,4.19093,1.03031,2.499e-05,2.499e-05,2.499e-05
2,36.9041,1.07026,3.73097,1.295,0.02372,1,0.75085,0.59989,0.56742,4.14338,1.02242,5.80214e-05,5.80214e-05,5.80214e-05
3,51.3008,0.91692,3.42632,1.2025,0.0317,1,0.78611,0.62914,0.73331,4.06828,1.06722,9.07229e-05,9.07229e-05,9.07229e-05
4,65.4253,0.94924,3.26511,1.26082,0.02732,1,0.75774,0.51614,0.92448,3.94123,1.13895,0.000123094,0.000123094,0.000123094
5,80.8259,0.97357,2.82936,1.28637,0.02825,1,0.76435,0.47239,1.02858,3.84908,1.12402,0.000155136,0.000155136,0.000155136
6,95.315,0.96389,2.73353,1.2662,0.03698,1,0.76544,0.42203,1.12226,3.80064,1.13232,0.000186848,0.000186848,0.000186848
7,109.443,1.04925,2.64877,1.27802,0.04243,1,0.77614,0.43224,1.09501,3.74559,1.1041,0.00021823,0.00021823,0.00021823
8,123.246,0.89658,2.40207,1.27479,0.04216,1,0.76,0.49443,0.96613,3.68586,1.05803,0.000249282,0.000249282,0.000249282
9,137.373,0.90252,2.18871,1.21796,0.03993,1,0.7104,0.52128,0.86747,3.72654,1.04679,0.000280005,0.000280005,0.000280005
10,151.39,0.98093,1.999,1.19147,0.03733,1,0.69056,0.47534,0.94277,3.67116,1.06846,0.000310397,0.000310397,0.000310397
11,165.971,0.9218,1.80177,1.20461,0.03631,1,0.64903,0.5608,0.76168,3.72746,0.98672,0.00034046,0.00034046,0.00034046
12,179.978,0.88234,1.7858,1.20169,1,0.31505,0.7125,0.54542,0.78531,3.49514,0.97109,0.000370192,0.000370192,0.000370192
13,193.918,0.95169,1.8029,1.17362,0.78999,0.66667,0.85611,0.63158,0.87126,3.50915,1.01152,0.000399595,0.000399595,0.000399595
14,208.022,0.89578,1.58811,1.10625,0.98113,0.33333,0.88444,0.62784,0.85233,3.37222,1.03101,0.000428668,0.000428668,0.000428668
15,221.887,0.88537,1.58307,1.1457,0.80518,0.5,0.70444,0.47278,1.01065,3.46228,1.08203,0.000457411,0.000457411,0.000457411
16,235.743,0.88314,1.68391,1.21896,0.8714,0.33333,0.4834,0.33104,1.04136,3.52599,1.12028,0.000485824,0.000485824,0.000485824
17,249.958,0.88762,1.61463,1.23236,0.81897,0.33333,0.52422,0.34759,0.95268,3.56631,1.0655,0.000513908,0.000513908,0.000513908
18,264.407,0.81505,1.45695,1.12978,0.69608,0.5,0.58623,0.44929,0.79099,3.57013,0.97943,0.000541661,0.000541661,0.000541661
19,279.196,0.924,1.52981,1.13752,0.84499,0.5,0.64321,0.47491,0.82971,3.45456,1.00791,0.000569085,0.000569085,0.000569085
20,295.113,0.98024,1.63689,1.19589,0.93726,0.66667,0.70328,0.49319,0.94075,3.18853,1.07612,0.000596179,0.000596179,0.000596179
21,310.717,0.91774,1.60436,1.18605,0.71676,0.66667,0.68783,0.53003,0.978,3.16873,1.12366,0.000622942,0.000622942,0.000622942
22,324.864,0.96721,1.6014,1.24135,0.88105,0.66369,0.68082,0.40364,1.13981,3.07764,1.14768,0.000649376,0.000649376,0.000649376
23,338.808,0.88058,1.661,1.22892,0.90595,0.62445,0.68299,0.38468,1.20682,3.10114,1.23468,0.000675481,0.000675481,0.000675481
24,352.543,0.96544,1.54026,1.16702,0.80546,0.5,0.59032,0.41187,1.06193,3.22149,1.22773,0.000701255,0.000701255,0.000701255
25,366.209,0.90942,1.44525,1.2212,0.7454,0.66667,0.67095,0.45635,0.97146,3.3465,1.1609,0.000726699,0.000726699,0.000726699
26,380.047,0.88855,1.42258,1.10276,0.94959,0.66667,0.84068,0.52576,1.0121,3.57886,1.1563,0.000729916,0.000729916,0.000729916
27,393.638,0.89215,1.49643,1.13083,0.97493,0.65126,0.83027,0.46418,1.08619,3.52594,1.2003,0.000725793,0.000725793,0.000725793
