epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1422,1.06631,3.80769,1.35291,0.0196,1,0.52315,0.33909,0.66822,4.19093,1.03031,2.499e-05,2.499e-05,2.499e-05
2,37.8629,1.07026,3.73097,1.295,0.02372,1,0.75085,0.59989,0.56742,4.14338,1.02242,5.80214e-05,5.80214e-05,5.80214e-05
3,54.2282,0.91692,3.42632,1.2025,0.0317,1,0.78611,0.62914,0.73331,4.06828,1.06722,9.07229e-05,9.07229e-05,9.07229e-05
4,71.1647,0.94924,3.26511,1.26082,0.02732,1,0.75774,0.51614,0.92448,3.94123,1.13895,0.000123094,0.000123094,0.000123094
5,87.5774,0.97357,2.82936,1.28637,0.02825,1,0.76435,0.47239,1.02858,3.84908,1.12402,0.000155136,0.000155136,0.000155136
6,103.452,0.96389,2.73353,1.2662,0.03698,1,0.76544,0.42203,1.12226,3.80064,1.13232,0.000186848,0.000186848,0.000186848
7,119.124,1.04925,2.64877,1.27802,0.04243,1,0.77614,0.43224,1.09501,3.74559,1.1041,0.00021823,0.00021823,0.00021823
8,135.247,0.89658,2.40207,1.27479,0.04216,1,0.76,0.49443,0.96613,3.68586,1.05803,0.000249282,0.000249282,0.000249282
9,151.383,0.90252,2.18871,1.21796,0.03993,1,0.7104,0.52128,0.86747,3.72654,1.04679,0.000280005,0.000280005,0.000280005
10,167.349,0.98093,1.999,1.19147,0.03733,1,0.69056,0.47534,0.94277,3.67116,1.06846,0.000310397,0.000310397,0.000310397
11,183.267,0.9218,1.80177,1.20461,0.03631,1,0.64903,0.5608,0.76168,3.72746,0.98672,0.00034046,0.00034046,0.00034046
12,200.085,0.88234,1.7858,1.20169,1,0.31505,0.7125,0.54542,0.78531,3.49514,0.97109,0.000370192,0.000370192,0.000370192
13,217.86,0.95169,1.8029,1.17362,0.78999,0.66667,0.85611,0.63158,0.87126,3.50915,1.01152,0.000399595,0.000399595,0.000399595
14,235.454,0.89578,1.58811,1.10625,0.98113,0.33333,0.88444,0.62784,0.85233,3.37222,1.03101,0.000428668,0.000428668,0.000428668
15,251.749,0.88537,1.58307,1.1457,0.80518,0.5,0.70444,0.47278,1.01065,3.46228,1.08203,0.000457411,0.000457411,0.000457411
16,267.934,0.88314,1.68391,1.21896,0.8714,0.33333,0.4834,0.33104,1.04136,3.52599,1.12028,0.000485824,0.000485824,0.000485824
17,283.783,0.88762,1.61463,1.23236,0.81897,0.33333,0.52422,0.34759,0.95268,3.56631,1.0655,0.000513908,0.000513908,0.000513908
18,299.68,0.81505,1.45695,1.12978,0.69608,0.5,0.58623,0.44929,0.79099,3.57013,0.97943,0.000541661,0.000541661,0.000541661
19,315.328,0.924,1.52981,1.13752,0.84499,0.5,0.64321,0.47491,0.82971,3.45456,1.00791,0.000569085,0.000569085,0.000569085
20,331.076,0.98024,1.63689,1.19589,0.93726,0.66667,0.70328,0.49319,0.94075,3.18853,1.07612,0.000596179,0.000596179,0.000596179
21,346.742,0.91774,1.60436,1.18605,0.71676,0.66667,0.68783,0.53003,0.978,3.16873,1.12366,0.000622942,0.000622942,0.000622942
22,362.622,0.96721,1.6014,1.24135,0.88105,0.66369,0.68082,0.40364,1.13981,3.07764,1.14768,0.000649376,0.000649376,0.000649376
23,378.272,0.88058,1.661,1.22892,0.90595,0.62445,0.68299,0.38468,1.20682,3.10114,1.23468,0.000675481,0.000675481,0.000675481
24,393.695,0.96544,1.54026,1.16702,0.80546,0.5,0.59032,0.41187,1.06193,3.22149,1.22773,0.000701255,0.000701255,0.000701255
25,409.348,0.90942,1.44525,1.2212,0.7454,0.66667,0.67095,0.45635,0.97146,3.3465,1.1609,0.000726699,0.000726699,0.000726699
26,424.82,0.88855,1.42258,1.10276,0.94959,0.66667,0.84068,0.52576,1.0121,3.57886,1.1563,0.000729916,0.000729916,0.000729916
27,440.524,0.89215,1.49643,1.13083,0.97493,0.65126,0.83027,0.46418,1.08619,3.52594,1.2003,0.000725793,0.000725793,0.000725793
28,456.205,0.8562,1.32911,1.15994,0.79765,0.49284,0.51321,0.34406,1.22994,3.39424,1.27491,0.00072167,0.00072167,0.00072167
29,471.893,0.82534,1.38057,1.10984,0.82793,0.66667,0.61967,0.40149,1.13688,3.30407,1.30929,0.000717546,0.000717546,0.000717546
30,487.377,0.84359,1.278,1.09429,0.82584,0.66667,0.66755,0.42248,1.07087,3.36261,1.39287,0.000713423,0.000713423,0.000713423
31,503.271,0.81889,1.3678,1.08035,0.94346,0.4998,0.64177,0.42444,1.13753,3.37441,1.42774,0.000709299,0.000709299,0.000709299
32,519.562,0.93638,1.44236,1.19597,0.9033,0.66667,0.67271,0.42661,1.14959,3.37884,1.4303,0.000705176,0.000705176,0.000705176
33,536.724,0.89479,1.37775,1.12073,0.93558,0.66667,0.80139,0.58323,1.1505,3.07613,1.42025,0.000701053,0.000701053,0.000701053
34,552.285,0.88239,1.31836,1.10311,0.94523,0.6289,0.78287,0.6044,0.95342,2.74271,1.33617,0.000696929,0.000696929,0.000696929
35,570.103,0.87666,1.32587,1.16001,0.9093,0.66667,0.88444,0.65639,0.91477,2.56907,1.31482,0.000692806,0.000692806,0.000692806
36,586.973,0.79501,1.23894,1.1213,0.94049,0.66667,0.88444,0.63979,0.99471,2.49748,1.2572,0.000688683,0.000688683,0.000688683
37,602.303,0.78648,1.13629,1.04173,0.96001,0.66667,0.82917,0.58128,1.05623,2.64779,1.26094,0.000684559,0.000684559,0.000684559
38,617.922,0.82117,1.2801,1.09856,0.81303,0.5,0.91167,0.57169,1.40865,2.91873,1.39917,0.000680436,0.000680436,0.000680436
39,633.308,0.85859,1.32407,1.07008,0.96673,0.66667,0.93944,0.58026,1.3892,2.96692,1.347,0.000676313,0.000676313,0.000676313
40,648.666,0.82508,1.09911,1.08249,0.97595,0.66667,0.895,0.67916,1.00902,2.49865,1.2225,0.000672189,0.000672189,0.000672189
41,664.173,0.82195,1.29565,1.11621,0.94559,0.65592,0.895,0.69792,0.91694,2.48164,1.25205,0.000668066,0.000668066,0.000668066
42,679.597,0.75573,1.17669,1.07065,0.92513,0.64991,0.72364,0.56406,0.99961,2.76378,1.37498,0.000663943,0.000663943,0.000663943
43,694.967,0.8419,1.23348,1.14603,0.943,0.66667,0.85397,0.63676,1.01468,2.82008,1.46916,0.000659819,0.000659819,0.000659819
44,710.434,0.80433,1.18664,1.09635,0.92981,0.66667,0.85611,0.58188,0.9007,2.96899,1.31967,0.000655696,0.000655696,0.000655696
45,725.701,0.80591,1.33611,1.17865,0.92375,0.66667,0.72967,0.57924,0.79942,2.91208,1.16639,0.000651573,0.000651573,0.000651573
46,740.982,0.80546,1.13081,1.07246,0.92165,0.66306,0.78287,0.62002,0.72844,2.73757,1.06913,0.000647449,0.000647449,0.000647449
47,756.641,0.8021,1.16209,1.11281,0.92539,0.66667,0.7875,0.67789,0.73158,2.80431,1.01444,0.000643326,0.000643326,0.000643326
48,771.605,0.73394,1.07008,1.06492,0.93161,0.66667,0.76544,0.60608,0.75482,2.8808,1.01361,0.000639203,0.000639203,0.000639203
