epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,516.713,0.74857,1.08506,1.07667,0.95517,0.63148,0.83272,0.57466,1.11211,2.57851,1.32534,0.000663943,0.000663943,0.000663943
43,528.573,0.87165,1.21672,1.12777,0.98661,0.6491,0.83462,0.59789,1.04426,2.30241,1.23052,0.000659819,0.000659819,0.000659819
44,540.534,0.81223,1.16903,1.05654,0.98563,0.6384,0.72759,0.51398,1.03073,2.58327,1.1262,0.000655696,0.000655696,0.000655696
45,552.458,0.82697,1.32419,1.12415,0.97689,0.65264,0.75972,0.5892,0.9641,2.77066,1.09012,0.000651573,0.000651573,0.000651573
46,564.249,0.86578,1.14754,1.09357,0.94991,0.65796,0.76338,0.57495,0.891,2.50642,1.10708,0.000647449,0.000647449,0.000647449
47,575.952,0.81307,1.06834,1.06148,0.92706,0.66234,0.76033,0.58878,0.91596,2.36411,1.14992,0.000643326,0.000643326,0.000643326
48,587.957,0.72923,1.05548,1.03927,0.58349,0.78958,0.7625,0.57884,0.88813,2.40194,1.14392,0.000639203,0.000639203,0.000639203
49,599.937,0.784,1.06898,1.03387,0.57569,0.7668,0.77361,0.58919,0.98395,2.35316,1.15643,0.000635079,0.000635079,0.000635079
50,611.962,0.79977,1.10009,1.09489,0.60105,0.75449,0.77614,0.59003,1.08452,2.32017,1.16366,0.000630956,0.000630956,0.000630956
51,623.895,0.85119,1.10707,1.06002,0.90021,0.65655,0.78287,0.58533,1.11979,2.20598,1.15475,0.000626832,0.000626832,0.000626832
52,635.621,0.83775,1.08166,1.07618,0.92887,0.65832,0.77917,0.5486,1.14576,2.21628,1.14348,0.000622709,0.000622709,0.000622709
53,648.08,0.78959,1.09105,1.01513,0.98061,0.66667,0.83474,0.59979,1.11859,2.34334,1.19665,0.000618586,0.000618586,0.000618586
54,660.124,0.77647,1.05043,1.04877,0.97304,0.66667,0.83558,0.64891,1.12519,2.38684,1.28421,0.000614462,0.000614462,0.000614462
55,672.284,0.75246,1.05681,1.04571,0.96221,0.66667,0.88389,0.66296,0.86737,2.35543,1.0595,0.000610339,0.000610339,0.000610339
56,684.252,0.8336,1.28324,1.16359,0.96421,0.66667,0.86537,0.62627,0.87503,2.35601,1.04943,0.000606216,0.000606216,0.000606216
57,695.93,0.75145,0.99926,1.03063,0.98064,0.66667,0.84794,0.65618,0.91237,2.24728,1.04718,0.000602092,0.000602092,0.000602092
58,707.733,0.69653,0.95792,1.0309,0.95191,0.66467,0.83983,0.62603,0.90465,2.49385,1.02909,0.000597969,0.000597969,0.000597969
59,719.451,0.7296,0.95936,1.04187,0.94036,0.66667,0.83609,0.64969,0.88355,2.5663,1.02171,0.000593846,0.000593846,0.000593846
60,731.28,0.71071,1.00423,1.05868,0.96468,0.66667,0.66865,0.525,0.88775,2.35696,1.03043,0.000589722,0.000589722,0.000589722
61,742.945,0.7005,0.94497,1.02281,0.96789,0.66667,0.67126,0.55233,0.79959,2.27417,1.01615,0.000585599,0.000585599,0.000585599
62,754.586,0.72436,0.98877,0.99154,0.94756,0.66667,0.83909,0.70345,0.65161,2.30601,0.97424,0.000581476,0.000581476,0.000581476
63,766.512,0.70045,0.92695,1.00069,0.95669,0.66667,0.83514,0.70128,0.68319,2.20422,0.99139,0.000577352,0.000577352,0.000577352
64,778.293,0.70161,0.92043,1.0666,0.98866,0.66667,0.83646,0.68235,0.7997,2.23556,1.00682,0.000573229,0.000573229,0.000573229
65,790.114,0.75206,0.96654,1.01651,0.969,0.66667,0.83627,0.67536,0.83636,2.29969,1.01707,0.000569106,0.000569106,0.000569106
66,801.92,0.73623,0.95839,1.05092,0.95153,0.66403,0.83474,0.71693,0.79067,2.33057,1.00952,0.000564982,0.000564982,0.000564982
67,813.809,0.74667,0.92183,1.00065,0.94625,0.66257,0.83543,0.6991,0.73175,2.29608,1.00031,0.000560859,0.000560859,0.000560859
68,825.642,0.69797,0.88722,1.01904,0.95674,0.66667,0.83543,0.68389,0.77498,2.21651,1.01777,0.000556736,0.000556736,0.000556736
69,837.314,0.73415,0.9069,1.04136,0.9771,0.66667,0.75865,0.65355,0.75804,2.08737,1.02855,0.000552612,0.000552612,0.000552612
70,849.023,0.78015,1.04904,1.04377,0.96601,0.66667,0.75733,0.62748,0.69538,2.12175,1.02105,0.000548489,0.000548489,0.000548489
71,860.677,0.7624,0.97239,0.99835,0.95874,0.66667,0.76544,0.63118,0.65913,2.14281,1.01568,0.000544365,0.000544365,0.000544365
72,872.392,0.6675,0.89806,0.99114,0.97154,0.66667,0.77614,0.61774,0.71413,2.14545,1.01888,0.000540242,0.000540242,0.000540242
73,884.124,0.78336,1.03371,1.06424,0.97974,0.66667,0.78287,0.57542,0.85897,2.11161,1.03918,0.000536119,0.000536119,0.000536119
74,895.785,0.69926,0.90508,1.02718,0.98299,0.66667,0.77147,0.57991,0.97196,2.06894,1.04836,0.000531995,0.000531995,0.000531995
75,907.431,0.69848,0.90614,1.02221,0.98256,0.66667,0.77917,0.54378,0.96593,2.17396,1.04004,0.000527872,0.000527872,0.000527872
76,920.698,0.70297,0.93728,1.01706,0.9806,0.66667,0.76964,0.56086,0.91178,2.14264,1.0277,0.000523749,0.000523749,0.000523749
77,933.802,0.69181,0.85947,1.0089,0.97789,0.66667,0.77147,0.5881,0.82895,2.09127,1.01708,0.000519625,0.000519625,0.000519625
78,946.006,0.63966,0.85646,1.02233,0.97592,0.66667,0.77361,0.63525,0.79932,1.94834,1.00415,0.000515502,0.000515502,0.000515502
79,957.873,0.65097,0.86499,0.99814,0.97732,0.66667,0.76806,0.62752,0.75901,1.97549,0.99695,0.000511379,0.000511379,0.000511379
80,970.752,0.63698,0.81649,1.00124,0.98249,0.66667,0.82917,0.63973,0.76778,1.96941,0.99663,0.000507255,0.000507255,0.000507255
81,982.494,0.67692,0.86099,1.0238,0.61183,0.82074,0.82917,0.64703,0.76643,1.90205,1.00472,0.000503132,0.000503132,0.000503132
82,995.346,0.69287,0.91749,1.00526,0.6211,0.83333,0.8125,0.63376,0.78181,1.89298,1.00215,0.000499009,0.000499009,0.000499009
83,1008.22,0.63538,0.94662,1.0104,0.57424,0.84891,0.82917,0.65108,0.76053,1.87767,0.99241,0.000494885,0.000494885,0.000494885
84,1020.01,0.68061,0.88788,1.04979,0.60736,0.80943,0.80139,0.62483,0.7396,1.82443,0.98455,0.000490762,0.000490762,0.000490762
85,1031.8,0.69133,0.8205,0.967,0.60159,0.80698,0.77361,0.64228,0.66901,1.79663,0.98977,0.000486639,0.000486639,0.000486639
86,1043.69,0.66523,0.93726,0.99425,0.58338,0.79103,0.75417,0.62491,0.63194,1.78922,0.98169,0.000482515,0.000482515,0.000482515
87,1055.46,0.67191,0.83727,1.0023,0.98435,0.66667,0.75659,0.60069,0.58406,1.95045,0.96152,0.000478392,0.000478392,0.000478392
88,1067.35,0.67891,0.80729,0.96957,0.98527,0.66667,0.75972,0.59459,0.53768,1.9729,0.94855,0.000474269,0.000474269,0.000474269
89,1079.17,0.65733,0.80483,0.97414,0.98468,0.66667,0.73685,0.61777,0.58445,2.00048,0.96082,0.000470145,0.000470145,0.000470145
90,1090.99,0.65619,0.89456,1.02464,0.98516,0.66667,0.73794,0.58989,0.76399,1.97361,0.97663,0.000466022,0.000466022,0.000466022
91,1102.84,0.69041,0.80442,0.97433,0.98473,0.66667,0.73588,0.60508,0.74321,1.97252,0.98817,0.000461898,0.000461898,0.000461898
92,1114.47,0.65423,0.85568,0.97438,0.98327,0.66667,0.73167,0.59973,0.74922,1.95076,0.99164,0.000457775,0.000457775,0.000457775
93,1126.2,0.6245,0.81641,0.96672,0.98062,0.66667,0.73222,0.6194,0.57866,1.83219,0.99466,0.000453652,0.000453652,0.000453652
94,1137.95,0.68955,0.86902,0.97862,0.9749,0.66667,0.73348,0.61582,0.55568,1.90947,0.98278,0.000449528,0.000449528,0.000449528
95,1149.76,0.69822,0.91426,0.97374,0.9649,0.66667,0.75865,0.62084,0.62098,1.84302,0.99618,0.000445405,0.000445405,0.000445405
96,1161.47,0.59693,0.78324,0.97107,0.95395,0.66667,0.75818,0.63301,0.6509,1.79538,1.00496,0.000441282,0.000441282,0.000441282
97,1173.91,0.62814,0.7773,0.98216,0.94867,0.66667,0.75694,0.59899,0.71296,1.84453,1.01031,0.000437158,0.000437158,0.000437158
98,1185.66,0.64582,0.76462,0.9649,0.95583,0.66667,0.73115,0.58984,0.70991,1.95873,1.00622,0.000433035,0.000433035,0.000433035
99,1197.42,0.59698,0.77144,0.95537,0.96745,0.66667,0.73024,0.60182,0.69294,1.95215,1.0067,0.000428912,0.000428912,0.000428912
100,1209.23,0.56994,0.76929,0.96015,0.97528,0.66667,0.73167,0.61568,0.63077,1.9322,0.9974,0.000424788,0.000424788,0.000424788
101,1220.93,0.5526,0.72228,0.95612,0.98034,0.66667,0.73024,0.60924,0.58743,1.94162,0.98332,0.000420665,0.000420665,0.000420665
102,1232.63,0.65275,0.72673,0.95656,0.98319,0.66667,0.72759,0.58494,0.60785,1.93291,0.99954,0.000416542,0.000416542,0.000416542
103,1244.35,0.60754,0.72837,0.97956,0.98384,0.66667,0.71924,0.56398,0.66722,1.86023,1.02072,0.000412418,0.000412418,0.000412418
104,1256.03,0.62428,0.71308,0.96696,0.98528,0.66667,0.72591,0.58254,0.6999,1.87629,1.0206,0.000408295,0.000408295,0.000408295
105,1268,0.63665,0.77188,0.98323,0.98366,0.66667,0.7075,0.60375,0.65334,1.88893,1.00762,0.000404172,0.000404172,0.000404172
106,1279.67,0.60264,0.7205,0.95786,0.98195,0.66667,0.75972,0.65217,0.60706,1.84723,1.00981,0.000400048,0.000400048,0.000400048
107,1291.47,0.63782,0.74664,0.98344,0.98292,0.66667,0.75774,0.62772,0.64646,1.8603,1.01009,0.000395925,0.000395925,0.000395925
108,1303.12,0.61562,0.7306,0.97982,0.98134,0.66667,0.83909,0.71812,0.62517,1.81285,1.01002,0.000391802,0.000391802,0.000391802
109,1315.05,0.69753,0.75102,0.99576,0.98393,0.66667,0.75917,0.66103,0.61138,1.77937,1.00131,0.000387678,0.000387678,0.000387678
110,1326.75,0.62416,0.69324,0.95959,0.98681,0.66667,0.7625,0.61855,0.63983,1.77044,0.99133,0.000383555,0.000383555,0.000383555
111,1338.48,0.63404,0.74063,0.99745,0.98769,0.66667,0.75774,0.5966,0.74209,1.88583,0.99513,0.000379431,0.000379431,0.000379431
112,1350.28,0.62685,0.71102,0.95928,0.98752,0.66667,0.76033,0.58768,0.8266,1.84526,1.02246,0.000375308,0.000375308,0.000375308
113,1361.96,0.66426,0.74329,1.00443,0.98417,0.66667,0.76033,0.57252,0.77865,1.85812,1.02342,0.000371185,0.000371185,0.000371185
114,1373.76,0.63615,0.70691,0.96759,0.98239,0.66667,0.75865,0.58433,0.70878,1.87085,1.01061,0.000367061,0.000367061,0.000367061
115,1385.72,0.56967,0.71283,0.95027,0.9806,0.66667,0.75818,0.60918,0.64708,1.84154,0.99235,0.000362938,0.000362938,0.000362938
116,1397.42,0.58687,0.76708,0.97112,0.9774,0.66667,0.76033,0.64436,0.62377,1.86393,0.98379,0.000358815,0.000358815,0.000358815
117,1409.29,0.57023,0.72129,0.96402,0.97219,0.66667,0.76338,0.65238,0.62531,1.95131,0.97902,0.000354691,0.000354691,0.000354691
118,1421.01,0.62085,0.72322,0.97605,0.96812,0.66667,0.76544,0.65298,0.63597,2.04373,0.97539,0.000350568,0.000350568,0.000350568
119,1432.8,0.59206,0.72914,0.98116,0.96516,0.66667,0.73917,0.62373,0.67493,2.06616,0.97618,0.000346445,0.000346445,0.000346445
120,1444.67,0.53906,0.69236,0.95447,0.96067,0.66667,0.74214,0.64094,0.68652,2.10851,0.9764,0.000342321,0.000342321,0.000342321
121,1456.39,0.65623,0.7667,1.02135,0.95321,0.66667,0.74611,0.61082,0.70015,2.07759,0.98531,0.000338198,0.000338198,0.000338198
122,1468.11,0.74272,0.80422,1.03992,0.95216,0.66667,0.74397,0.61235,0.66819,2.07358,0.97245,0.000334075,0.000334075,0.000334075
123,1479.83,0.55504,0.66756,0.93832,0.95291,0.66667,0.75167,0.62,0.66608,2.01917,0.98668,0.000329951,0.000329951,0.000329951
124,1491.62,0.54793,0.68553,0.95252,0.95299,0.66667,0.75537,0.6454,0.64955,1.96418,1.01367,0.000325828,0.000325828,0.000325828
125,1503.44,0.60403,0.69806,0.97578,0.95525,0.66667,0.74625,0.6442,0.63896,1.94613,1.0223,0.000321705,0.000321705,0.000321705
126,1516.39,0.56787,0.68635,0.96576,0.96517,0.66667,0.73704,0.64547,0.62751,1.95686,1.0125,0.000317581,0.000317581,0.000317581
127,1529.41,0.59575,0.73126,0.97582,0.97365,0.66667,0.75167,0.66817,0.65121,1.97711,1.00047,0.000313458,0.000313458,0.000313458
128,1541.6,0.59457,0.76599,0.98443,0.98085,0.66667,0.76338,0.66055,0.66533,1.87982,0.99632,0.000309335,0.000309335,0.000309335
129,1553.3,0.70153,0.70399,0.9736,0.98246,0.66667,0.76098,0.6667,0.66288,1.94646,0.99788,0.000305211,0.000305211,0.000305211
130,1565.82,0.63335,0.69604,0.9938,0.98278,0.66667,0.76098,0.65008,0.68852,2.00087,1.02405,0.000301088,0.000301088,0.000301088
131,1577.35,0.55209,0.68002,0.94002,0.98365,0.66667,0.74708,0.6308,0.70216,1.86272,1.03571,0.000296964,0.000296964,0.000296964
132,1589.29,0.59449,0.68254,0.97601,0.98573,0.66667,0.71947,0.63361,0.71352,1.8009,1.03712,0.000292841,0.000292841,0.000292841
133,1604.73,0.58749,0.70131,0.99338,0.98664,0.66667,0.71941,0.63355,0.6999,1.77461,1.04381,0.000288718,0.000288718,0.000288718
