epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5731,1.06851,3.83614,1.35194,0.01597,0.83333,0.23812,0.18618,0.728,4.27973,1.13417,2.499e-05,2.499e-05,2.499e-05
2,39.5675,1.09455,3.80903,1.31085,0.02324,1,0.61389,0.45126,0.65609,4.22655,1.1437,5.80214e-05,5.80214e-05,5.80214e-05
3,57.9764,0.9755,3.49122,1.25772,0.03142,1,0.67671,0.47033,0.87041,4.14677,1.21086,9.07229e-05,9.07229e-05,9.07229e-05
4,76.2473,0.95073,3.35198,1.28672,0.03393,1,0.75481,0.4716,0.98194,4.02283,1.2709,0.000123094,0.000123094,0.000123094
5,94.7537,0.97926,2.83767,1.30267,0.03444,1,0.80611,0.45988,1.12833,3.95742,1.38033,0.000155136,0.000155136,0.000155136
6,113.293,0.96228,2.76209,1.27819,0.04525,1,0.62308,0.39272,1.15109,3.90843,1.32237,0.000186848,0.000186848,0.000186848
7,131.838,1.05421,2.75112,1.30954,0.06086,1,0.7379,0.39012,1.09834,3.86647,1.24994,0.00021823,0.00021823,0.00021823
8,150.368,0.91285,2.4824,1.28262,0.05652,1,0.68234,0.46893,0.96226,3.77241,1.20243,0.000249282,0.000249282,0.000249282
9,168.731,0.92892,2.24686,1.22251,0.05357,1,0.75694,0.48649,0.9575,3.75694,1.25485,0.000280005,0.000280005,0.000280005
10,187.214,0.99836,2.0353,1.23214,0.04788,1,0.63528,0.42011,1.05543,3.81435,1.27878,0.000310397,0.000310397,0.000310397
11,206.373,0.8742,1.87577,1.21342,0.04906,1,0.71806,0.54885,1.06533,3.83322,1.25046,0.00034046,0.00034046,0.00034046
12,225.367,0.89314,1.87886,1.25445,1,0.26291,0.67583,0.51773,1.02205,3.55906,1.21439,0.000370192,0.000370192,0.000370192
13,244.574,0.94835,1.86132,1.20597,0.58108,0.63976,0.74713,0.44603,1.15181,3.59,1.28189,0.000399595,0.000399595,0.000399595
14,263.955,0.96978,1.63221,1.1423,0.77732,0.33333,0.72968,0.55225,0.99309,3.58407,1.17879,0.000428668,0.000428668,0.000428668
15,283.658,0.98575,1.67285,1.17002,0.85172,0.53311,0.63159,0.43896,0.93403,3.42303,1.17718,0.000457411,0.000457411,0.000457411
16,303.515,0.88495,1.7147,1.24014,0.88412,0.31902,0.71592,0.42084,1.15354,3.29433,1.31041,0.000485824,0.000485824,0.000485824
17,323.656,0.89816,1.68574,1.21863,0.88565,0.5461,0.7913,0.4856,1.1138,3.39928,1.2709,0.000513908,0.000513908,0.000513908
18,344.394,0.85095,1.60899,1.14701,0.78383,0.42929,0.54853,0.33005,1.07727,3.37284,1.27339,0.000541661,0.000541661,0.000541661
19,364.898,0.88421,1.59635,1.16995,0.72279,0.33333,0.48796,0.29726,1.10979,3.35686,1.28481,0.000569085,0.000569085,0.000569085
20,385.422,0.93713,1.67903,1.17805,0.87238,0.62244,0.66306,0.40433,1.10611,3.35798,1.23929,0.000596179,0.000596179,0.000596179
21,404.663,0.92286,1.58568,1.2225,0.86104,0.61048,0.88389,0.5676,1.07885,2.95181,1.29416,0.000622942,0.000622942,0.000622942
22,424.217,0.9184,1.53009,1.23426,0.88477,0.66667,0.87595,0.53501,1.14875,3.07625,1.2872,0.000649376,0.000649376,0.000649376
23,444.058,0.94825,1.65286,1.23454,0.92281,0.65411,0.88389,0.6035,0.93209,2.68888,1.24653,0.000675481,0.000675481,0.000675481
24,465.075,0.95238,1.52188,1.18423,0.81445,0.66667,0.83944,0.69945,0.73924,2.73479,1.14516,0.000701255,0.000701255,0.000701255
25,485.185,0.81405,1.44356,1.1609,0.97188,0.6655,0.895,0.65995,0.84002,2.90326,1.16707,0.000726699,0.000726699,0.000726699
26,505.326,0.87704,1.38328,1.1351,0.82622,0.66667,0.69611,0.52518,0.82378,3.07758,1.22989,0.000729916,0.000729916,0.000729916
27,525.177,0.94234,1.53988,1.18555,0.92656,0.5,0.69069,0.44052,0.86997,3.27701,1.18662,0.000725793,0.000725793,0.000725793
28,544.501,0.82141,1.35182,1.1574,0.65994,0.61056,0.61921,0.4018,1.11943,3.45943,1.22898,0.00072167,0.00072167,0.00072167
29,564.375,0.86308,1.43701,1.10941,0.73971,0.42249,0.58,0.38026,1.16347,3.47186,1.26,0.000717546,0.000717546,0.000717546
30,583.741,0.93214,1.34714,1.15779,0.72924,0.45578,0.61806,0.42678,1.0109,3.62991,1.15094,0.000713423,0.000713423,0.000713423
31,603.532,0.85475,1.3617,1.1207,0.805,0.5,0.78667,0.53247,0.99392,3.35439,1.11869,0.000709299,0.000709299,0.000709299
32,622.399,0.98264,1.51944,1.23439,0.83732,0.5,0.795,0.51785,1.14078,3.30038,1.14039,0.000705176,0.000705176,0.000705176
33,641.749,0.95315,1.53049,1.17454,0.67471,0.66667,0.50643,0.33419,1.15382,3.22816,1.10966,0.000701053,0.000701053,0.000701053
34,661.182,0.88825,1.44091,1.14255,0.78491,0.66667,0.59149,0.36628,1.17993,3.12516,1.09309,0.000696929,0.000696929,0.000696929
35,680.706,0.89773,1.3938,1.18238,0.76558,0.66667,0.5898,0.41613,1.2564,2.97848,1.15706,0.000692806,0.000692806,0.000692806
36,699.77,0.80321,1.32863,1.13116,0.76555,0.6559,0.68102,0.44914,1.20625,3.04352,1.19385,0.000688683,0.000688683,0.000688683
37,719.177,0.78551,1.20757,1.09313,0.92357,0.64616,0.84588,0.45009,1.11989,3.10712,1.18206,0.000684559,0.000684559,0.000684559
38,738.515,0.83034,1.29735,1.10869,0.90949,0.62939,0.86167,0.5084,1.10477,3.2019,1.2002,0.000680436,0.000680436,0.000680436
39,757.991,0.81649,1.39665,1.07053,0.9117,0.45144,0.70905,0.47281,1.15451,3.16897,1.15555,0.000676313,0.000676313,0.000676313
40,777.518,0.77219,1.1156,1.09761,0.93686,0.33333,0.62298,0.37272,1.11152,3.09487,1.1347,0.000672189,0.000672189,0.000672189
41,796.905,0.77912,1.33765,1.12075,0.93982,0.33333,0.59257,0.34561,1.05577,3.20681,1.12067,0.000668066,0.000668066,0.000668066
42,816.486,0.77543,1.25909,1.12818,0.91961,0.33333,0.69778,0.3885,0.9917,3.1967,1.1417,0.000663943,0.000663943,0.000663943
43,836.291,0.91509,1.3627,1.18565,0.86557,0.48716,0.75649,0.4468,0.88305,2.97658,1.12856,0.000659819,0.000659819,0.000659819
44,855.755,0.7828,1.22881,1.11453,0.90595,0.46898,0.70069,0.48464,0.91135,2.86378,1.08074,0.000655696,0.000655696,0.000655696
45,875.624,0.86024,1.47469,1.20488,1,0.63345,0.75293,0.47205,0.98264,2.88671,1.11513,0.000651573,0.000651573,0.000651573
46,895.673,0.89679,1.21346,1.10252,0.82337,0.54629,0.64004,0.42733,0.94652,3.0261,1.10503,0.000647449,0.000647449,0.000647449
47,915.175,0.79063,1.24286,1.08438,0.922,0.49002,0.58345,0.4779,0.85437,2.81945,1.12877,0.000643326,0.000643326,0.000643326
48,934.723,0.7458,1.14467,1.0691,1,0.65227,0.66732,0.55629,0.80548,2.8065,1.13793,0.000639203,0.000639203,0.000639203
49,954.992,0.84863,1.16289,1.11287,0.9791,0.58467,0.66333,0.53067,0.74975,2.77497,1.10922,0.000635079,0.000635079,0.000635079
50,974.286,0.815,1.23124,1.13579,0.94226,0.60363,0.66333,0.50083,0.81495,2.75219,1.08534,0.000630956,0.000630956,0.000630956
51,993.613,0.81714,1.15065,1.08573,0.9203,0.64368,0.66663,0.47242,0.89279,2.69488,1.09054,0.000626832,0.000626832,0.000626832
52,1013.31,0.79302,1.15729,1.07915,0.97497,0.66355,0.66757,0.48072,1.05192,2.31112,1.12222,0.000622709,0.000622709,0.000622709
53,1033.14,0.77778,1.09914,1.0555,0.96458,0.66667,0.66801,0.51544,1.15131,2.17926,1.15165,0.000618586,0.000618586,0.000618586
54,1053.41,0.76753,1.14679,1.05131,0.93125,0.66266,0.66879,0.5173,1.2059,2.32106,1.18634,0.000614462,0.000614462,0.000614462
55,1073.46,0.78436,1.17623,1.08329,0.9109,0.656,0.66811,0.54911,1.2103,2.46685,1.25181,0.000610339,0.000610339,0.000610339
56,1093.49,0.86333,1.38907,1.22898,0.90391,0.65214,0.66832,0.52702,1.14636,2.57104,1.16865,0.000606216,0.000606216,0.000606216
57,1113.41,0.80809,1.09126,1.07621,0.90521,0.66667,0.66716,0.53211,1.19388,2.56117,1.21297,0.000602092,0.000602092,0.000602092
